created_date,category,priority,resolution_hours,satisfied
2024-10-18,technical,high,43.3,yes
2024-06-24,billing,low,8.2,no
2024-06-09,billing,high,6.6,yes
2024-07-20,billing,low,7.0,yes
2024-04-09,billing,low,10.5,no
2024-08-18,billing,low,8.2,no
2024-04-08,billing,low,6.9,yes
2024-11-12,account,low,11.6,yes
2024-05-20,billing,high,9.0,yes
2024-08-19,technical,low,58.6,no
2024-03-25,billing,low,5.6,no
2024-09-18,other,high,6.6,no
2024-08-06,billing,medium,6.8,yes
2024-01-19,billing,medium,8.6,no
2024-10-19,technical,low,34.2,yes
2024-03-25,technical,medium,32.5,no
2024-08-18,technical,high,32.3,yes
2024-07-23,billing,low,7.0,yes
2024-09-13,billing,low,8.5,yes
2024-11-18,billing,low,11.7,no
2024-09-19,billing,high,6.0,yes
2024-10-18,technical,medium,31.8,yes
2024-06-11,account,low,10.6,yes
2024-02-13,billing,low,11.0,yes
2024-02-06,billing,medium,10.9,no
2024-07-09,other,low,8.1,yes
2024-12-16,account,low,13.6,no
2024-05-16,other,medium,6.0,yes
2024-04-07,technical,medium,28.3,no
2024-02-21,billing,low,8.1,yes
2024-02-11,technical,low,43.1,yes
2024-10-20,other,low,5.3,yes
2024-07-17,billing,low,6.7,yes
2024-11-06,billing,low,5.7,no
2024-03-16,billing,low,8.8,no
2024-05-10,billing,low,7.8,no
2024-01-22,technical,low,49.1,no
2024-05-21,billing,low,6.7,yes
2024-04-10,technical,low,34.1,yes
2024-10-15,billing,low,10.3,yes
2024-05-10,account,low,12.2,yes
2024-04-10,billing,low,4.9,no
2024-11-06,billing,low,6.5,yes
2024-07-04,billing,medium,6.0,no
2024-02-18,billing,low,7.6,yes
2024-05-22,billing,medium,4.2,no
2024-07-22,other,medium,7.0,yes
2024-06-11,billing,high,9.3,yes
2024-03-17,other,medium,5.8,no
2024-11-15,account,medium,11.7,no
2024-08-06,technical,high,39.0,yes
2024-04-15,billing,low,7.0,yes
2024-05-27,account,low,15.2,yes
2024-12-14,billing,low,6.0,yes
2024-05-13,billing,medium,12.7,yes
2024-04-04,other,low,4.4,yes
2024-05-09,account,low,12.8,yes
2024-04-13,technical,low,30.4,yes
2024-08-12,billing,low,6.5,no
2024-03-11,billing,medium,7.6,no
2024-05-11,account,medium,pending,yes
2024-02-15,billing,low,9.1,yes
2024-08-17,billing,high,8.4,yes
2024-03-11,billing,medium,9.1,no
2024-01-20,billing,medium,9.5,yes
2024-03-26,billing,medium,6.4,yes
2024-11-17,account,medium,11.4,no
2024-06-06,billing,low,7.6,no
2024-07-21,technical,medium,51.2,yes
2024-03-01,account,low,11.7,yes
2024-05-06,technical,medium,31.6,no
2024-02-21,account,medium,13.1,yes
2024-07-05,billing,high,7.2,yes
2024-04-22,account,low,14.6,yes
2024-12-27,technical,medium,53.7,yes
2024-12-21,other,low,7.5,yes
2024-03-01,technical,high,pending,yes
2024-05-10,technical,medium,49.0,yes
2024-12-03,billing,low,6.3,yes
2024-02-07,technical,low,36.5,yes
2024-06-07,billing,medium,9.9,yes
2024-06-02,billing,low,8.5,no
2024-07-06,billing,low,11.7,yes
2024-10-19,account,low,14.5,no
2024-03-09,billing,low,8.4,yes
2024-07-25,technical,medium,51.4,no
2024-02-12,technical,low,41.1,yes
2024-11-26,billing,high,10.6,yes
2024-06-07,other,medium,2.7,no
2024-04-12,other,low,5.9,yes
2024-11-08,account,low,9.3,yes
2024-04-13,technical,low,38.6,yes
2024-03-26,billing,low,6.9,no
2024-10-24,account,medium,17.8,yes
2024-03-18,billing,medium,9.1,yes
2024-05-18,billing,low,7.8,yes
2024-08-19,account,medium,14.6,no
2024-03-17,billing,low,3.1,no
2024-04-23,billing,low,10.7,yes
2024-06-03,billing,low,3.9,yes
2024-10-10,technical,low,41.3,no
2024-01-22,billing,medium,11.8,yes
2024-08-25,account,low,8.5,yes
2024-02-14,billing,low,6.2,no
2024-12-03,billing,low,3.5,no
2024-02-07,account,low,6.4,yes
2024-03-03,account,medium,pending,no
2024-09-20,technical,low,41.4,no
2024-11-19,account,low,10.6,no
2024-08-01,other,low,6.5,yes
2024-07-09,technical,medium,35.2,yes
2024-02-18,account,medium,9.3,yes
2024-03-23,technical,low,35.8,no
2024-11-25,billing,medium,5.6,yes
2024-09-01,account,low,5.0,yes
2024-06-26,account,medium,11.2,yes
2024-08-07,billing,low,8.8,yes
2024-09-11,account,low,15.5,yes
2024-01-24,technical,medium,46.2,no
2024-02-06,technical,low,36.9,yes
2024-01-09,technical,low,31.6,no
2024-01-09,billing,medium,7.8,yes
2024-03-23,other,medium,6.5,yes
2024-06-12,billing,low,7.9,no
2024-12-08,other,low,5.2,no
2024-10-08,technical,low,43.8,yes
2024-10-01,billing,low,3.4,no
2024-12-27,technical,medium,46.4,yes
2024-05-22,technical,medium,57.1,yes
2024-11-11,technical,high,27.5,yes
2024-07-23,account,medium,13.8,yes
2024-04-16,billing,medium,7.2,no
2024-02-24,billing,low,6.5,yes
2024-02-12,billing,medium,9.4,no
2024-12-07,technical,low,46.4,yes
2024-06-18,billing,low,7.7,yes
2024-10-02,billing,medium,11.5,yes
2024-04-14,technical,low,pending,no
2024-06-12,account,low,6.6,yes
2024-02-25,technical,low,55.6,yes
2024-09-04,billing,high,8.3,no
2024-09-08,account,low,16.9,yes
2024-11-14,technical,medium,30.4,yes
2024-08-03,account,high,9.4,yes
2024-12-03,billing,low,7.1,yes
2024-09-16,other,low,6.5,yes
2024-08-04,technical,low,47.6,yes
2024-02-18,other,low,4.9,yes
2024-01-23,billing,low,14.9,yes
2024-11-24,billing,low,6.2,yes
2024-12-08,technical,low,36.1,yes
2024-12-02,billing,low,12.1,yes
2024-05-11,technical,low,59.1,yes
2024-01-04,technical,low,55.4,yes
2024-01-06,technical,medium,44.1,yes
2024-02-17,billing,medium,8.3,yes
2024-06-14,technical,low,62.7,no
2024-07-05,billing,low,5.5,yes
2024-12-11,account,low,10.3,yes
2024-07-10,billing,low,8.1,no
2024-08-09,technical,high,42.1,yes
2024-06-25,account,medium,15.2,no
2024-09-23,billing,low,8.2,yes
2024-06-09,technical,low,43.2,yes
2024-02-03,billing,medium,8.9,yes
2024-08-08,account,low,11.1,yes
2024-02-13,other,low,6.4,yes
2024-07-13,billing,low,5.7,yes
2024-10-11,account,medium,9.2,no
2024-02-25,billing,medium,8.0,yes
2024-07-16,other,medium,5.5,yes
2024-02-08,other,high,6.9,yes
2024-02-08,billing,medium,8.1,no
2024-02-20,billing,high,8.5,yes
2024-08-20,account,low,14.8,yes
2024-04-23,other,low,3.4,yes
2024-05-23,other,low,4.3,yes
2024-09-10,account,low,11.0,yes
2024-09-11,technical,medium,57.9,no
2024-08-13,billing,medium,7.1,yes
2024-11-21,technical,low,57.9,no
2024-03-14,technical,medium,50.1,yes
2024-03-01,account,low,12.3,yes
2024-09-12,other,low,6.6,yes
2024-08-04,account,medium,13.8,no
2024-07-20,account,high,10.7,yes
2024-01-17,account,medium,16.4,no
2024-03-26,other,low,6.7,no
2024-05-05,billing,low,8.0,no
2024-09-04,billing,low,6.8,no
2024-08-13,other,low,6.9,yes
2024-11-11,technical,high,45.8,no
2024-09-11,billing,low,9.7,yes
2024-05-05,billing,low,12.6,yes
2024-01-20,billing,medium,9.3,yes
2024-06-21,billing,low,6.8,yes
2024-03-13,other,low,5.1,no
2024-05-16,billing,medium,5.6,no
2024-11-24,billing,medium,6.1,yes
2024-02-08,account,low,8.2,yes
2024-04-19,billing,low,10.0,yes
2024-06-23,billing,medium,3.6,yes
2024-03-27,billing,medium,10.9,no
2024-08-16,billing,low,6.8,yes
2024-03-19,billing,high,5.3,no
2024-09-12,billing,medium,6.4,no
2024-09-19,account,medium,11.9,yes
2024-02-04,technical,medium,40.6,no
2024-05-06,other,low,5.3,yes
2024-02-12,account,medium,15.2,yes
2024-07-06,technical,low,27.2,no
2024-11-02,billing,low,6.2,no
2024-11-02,other,low,7.1,no
2024-04-09,technical,low,27.2,yes
2024-07-11,account,medium,9.7,yes
2024-06-01,technical,medium,45.4,yes
2024-05-05,other,medium,6.9,yes
2024-09-10,billing,medium,9.2,yes
2024-10-13,technical,high,46.7,yes
2024-08-23,technical,low,40.0,yes
2024-03-01,billing,high,8.4,no
2024-12-16,other,medium,6.3,yes
2024-03-22,other,medium,6.0,yes
2024-02-17,billing,low,9.9,yes
2024-07-07,other,low,6.1,no
2024-01-19,account,low,14.7,yes
2024-02-10,technical,low,40.4,no
2024-03-23,technical,high,49.4,yes
2024-05-17,account,medium,5.2,yes
2024-04-27,billing,low,12.1,yes
2024-04-11,billing,low,6.3,no
2024-03-27,billing,medium,7.4,yes
2024-07-09,billing,low,7.1,yes
2024-08-12,other,low,8.9,yes
2024-09-04,billing,low,5.2,yes
2024-08-22,account,medium,11.1,yes
2024-05-16,billing,low,7.6,no
2024-07-13,technical,low,63.9,yes
2024-06-04,technical,high,54.3,yes
2024-08-09,technical,low,31.7,yes
2024-10-14,account,high,11.3,yes
2024-08-06,other,low,6.3,no
2024-12-07,billing,high,6.5,yes
2024-04-18,billing,medium,10.9,no
2024-07-02,technical,medium,43.6,yes
2024-07-22,technical,medium,23.6,yes
2024-05-12,billing,medium,8.2,yes
2024-01-08,technical,low,39.8,yes
2024-10-26,billing,medium,7.1,no
2024-08-14,billing,medium,8.6,yes
2024-06-25,account,medium,14.2,yes
2024-08-26,account,low,11.3,no
2024-01-02,technical,low,34.1,yes
2024-11-19,billing,medium,8.8,yes
2024-07-06,billing,low,4.6,yes
2024-03-17,billing,low,10.0,no
2024-09-10,technical,low,27.0,yes
2024-06-04,technical,high,41.7,yes
2024-04-08,technical,high,38.5,yes
2024-11-12,technical,high,45.6,no
2024-12-16,technical,low,34.5,no
2024-02-22,other,high,6.6,yes
2024-08-09,account,medium,7.2,yes
2024-11-13,technical,high,54.1,yes
2024-06-20,technical,low,45.8,yes
2024-09-14,account,low,14.9,no
2024-02-12,billing,low,7.0,yes
2024-12-20,other,high,6.4,yes
2024-09-08,technical,medium,36.1,yes
2024-07-18,billing,low,8.0,no
2024-06-10,other,medium,4.4,yes
2024-12-27,billing,high,7.9,yes
2024-08-15,other,high,2.1,yes
2024-01-22,billing,high,10.2,yes
2024-01-13,other,medium,4.2,yes
2024-08-08,account,low,14.7,yes
2024-06-03,billing,low,10.8,yes
2024-10-13,billing,low,9.4,no
2024-11-13,billing,medium,5.8,yes
2024-03-11,billing,low,8.7,no
2024-04-13,other,low,7.1,yes
2024-02-01,technical,low,48.1,yes
2024-10-22,other,low,6.7,yes
2024-03-14,billing,high,8.2,no
2024-12-07,billing,low,7.4,yes
2024-09-14,billing,medium,7.5,yes
2024-11-13,account,high,12.6,yes
2024-10-14,technical,high,39.5,yes
2024-11-11,account,low,11.2,no
2024-10-27,technical,low,36.7,yes
2024-03-02,other,low,6.1,no
2024-05-16,billing,medium,6.9,yes
2024-05-12,billing,low,9.9,yes
2024-01-19,technical,medium,40.9,yes
2024-07-20,billing,medium,10.4,no
2024-06-18,billing,medium,6.6,no
2024-02-04,account,low,9.4,yes
2024-10-25,technical,high,34.9,no
2024-11-15,technical,high,39.1,yes
2024-06-15,billing,high,8.1,yes
2024-08-24,technical,medium,50.1,no
2024-03-18,billing,low,3.9,no
2024-06-25,other,medium,6.4,yes
2024-04-02,billing,medium,4.8,no
2024-01-03,technical,medium,31.0,no
2024-05-20,technical,low,38.4,yes
2024-05-14,account,medium,12.2,yes
2024-11-25,technical,low,53.4,yes
2024-10-27,technical,low,38.0,yes
2024-01-14,billing,medium,10.5,no
2024-04-23,billing,low,9.3,yes
2024-05-12,billing,low,7.7,yes
2024-08-12,other,medium,7.4,yes
2024-01-26,other,medium,5.4,yes
2024-10-20,billing,low,9.2,yes
2024-02-02,billing,low,11.9,no
2024-10-15,billing,medium,9.5,no
2024-10-13,billing,low,8.0,yes
2024-02-24,technical,low,33.8,yes
2024-09-27,billing,low,7.5,yes
2024-10-23,account,low,10.2,yes
2024-11-26,technical,low,58.2,yes
2024-06-09,account,medium,14.7,yes
2024-12-19,billing,low,8.4,yes
2024-09-10,billing,high,9.0,yes
2024-01-07,technical,low,60.2,yes
2024-06-09,technical,low,38.4,yes
2024-07-01,billing,low,7.5,yes
2024-03-09,technical,low,56.1,yes
2024-02-23,billing,medium,9.6,yes
2024-09-24,billing,medium,6.1,yes
2024-02-21,account,low,14.1,no
2024-02-10,billing,medium,8.1,yes
2024-01-27,technical,low,38.4,yes
2024-01-18,account,low,11.1,no
2024-10-12,other,high,5.4,yes
2024-12-04,account,medium,12.7,yes
2024-09-02,technical,high,49.2,yes
2024-02-18,billing,medium,6.3,yes
2024-05-09,account,low,13.6,yes
2024-05-03,billing,medium,5.2,no
2024-09-01,billing,low,7.7,yes
2024-01-03,technical,low,50.6,no
2024-07-09,billing,low,8.2,yes
2024-06-08,account,medium,11.3,yes
2024-07-15,technical,medium,55.8,yes
2024-03-23,billing,low,9.3,yes
2024-07-15,billing,high,8.8,no
2024-06-12,billing,medium,9.4,no
2024-11-16,billing,medium,5.6,yes
2024-12-19,technical,medium,38.3,no
2024-10-09,technical,medium,59.0,yes
2024-04-15,other,low,7.3,no
2024-07-07,billing,medium,11.5,yes
2024-05-07,other,low,4.8,no
2024-10-07,account,medium,11.2,yes
2024-11-19,billing,medium,9.9,no
2024-09-15,technical,high,50.2,yes
2024-07-12,account,medium,6.4,no
2024-05-03,technical,medium,41.8,yes
2024-10-07,account,high,11.6,yes
2024-03-16,billing,low,7.0,yes
2024-03-05,billing,medium,9.0,yes
2024-01-25,account,high,9.5,yes
2024-12-23,technical,medium,43.9,yes
2024-12-22,technical,low,45.8,yes
2024-09-12,billing,low,6.8,yes
2024-12-19,account,low,11.9,yes
2024-12-14,account,medium,4.7,yes
2024-08-11,billing,low,8.7,yes
2024-06-07,technical,medium,38.6,no
2024-01-24,other,medium,pending,yes
2024-10-18,other,medium,3.2,yes
2024-06-13,other,high,5.6,yes
2024-01-15,billing,medium,11.9,no
2024-11-17,billing,low,8.1,no
2024-05-15,technical,low,27.2,yes
2024-11-14,other,high,5.3,yes
2024-01-23,technical,high,17.8,no
2024-11-06,billing,low,6.4,yes
2024-03-18,billing,low,6.0,yes
2024-01-21,billing,high,7.9,yes
2024-08-27,account,low,15.0,no
2024-06-15,billing,medium,7.1,yes
2024-11-23,technical,medium,58.0,no
2024-02-04,billing,medium,7.6,yes
2024-10-18,account,medium,12.4,yes
2024-03-27,technical,medium,36.8,yes
2024-06-05,technical,medium,28.2,no
2024-07-01,billing,medium,6.4,yes
2024-11-10,billing,medium,6.8,no
2024-09-11,billing,low,10.7,no
2024-02-18,billing,low,7.4,yes
2024-01-26,technical,high,24.2,yes
2024-02-09,technical,medium,41.7,no
2024-08-01,technical,low,41.9,yes
2024-04-01,account,low,8.4,yes
2024-10-22,account,low,12.9,yes
2024-01-15,technical,low,40.8,yes
2024-09-11,technical,low,25.9,no
2024-04-02,account,medium,14.4,no
2024-06-19,billing,medium,pending,yes
2024-05-12,technical,low,30.4,yes
2024-11-27,account,high,13.6,yes
2024-10-15,billing,low,4.7,yes
2024-05-19,billing,high,2.7,yes
2024-09-05,billing,low,6.5,no
2024-10-19,billing,low,8.1,yes
2024-12-22,billing,medium,7.8,no
2024-05-21,billing,low,6.9,yes
2024-11-05,technical,medium,25.6,no
2024-11-10,other,high,7.5,yes
2024-01-19,billing,high,9.7,yes
2024-07-10,technical,high,40.9,yes
2024-10-26,account,medium,13.2,yes
2024-07-15,technical,low,21.2,yes
2024-09-09,technical,low,45.9,yes
2024-11-20,billing,low,10.5,yes
2024-11-08,account,medium,14.2,yes
2024-06-19,technical,medium,48.3,yes
2024-03-18,technical,medium,41.7,no
2024-01-12,technical,medium,41.2,yes
2024-06-12,other,low,2.7,no
2024-05-25,billing,medium,6.8,yes
2024-10-25,billing,low,8.3,no
2024-11-11,technical,low,30.1,no
2024-01-08,account,medium,7.4,yes
2024-08-19,billing,low,7.1,yes
2024-03-10,billing,medium,6.1,yes
2024-01-26,billing,low,10.3,no
2024-09-06,account,medium,10.7,yes
2024-06-03,account,low,11.5,yes
2024-10-22,technical,low,52.9,no
2024-12-13,technical,low,29.1,yes
2024-12-06,billing,medium,8.5,no
2024-06-16,other,low,8.3,yes
2024-03-13,other,medium,4.7,no
2024-05-03,technical,low,35.8,no
2024-05-18,technical,low,49.6,no
2024-01-04,billing,low,9.8,yes
2024-10-08,technical,low,34.3,yes
2024-11-09,other,low,5.2,yes
2024-09-18,billing,medium,6.9,yes
2024-06-02,account,medium,9.6,no
2024-06-26,technical,medium,46.9,yes
2024-11-26,billing,low,7.4,yes
2024-03-16,billing,low,6.5,no
2024-04-22,billing,low,6.5,yes
2024-11-11,other,low,7.3,no
2024-08-14,billing,low,2.5,no
2024-12-21,technical,low,35.9,yes
2024-10-17,account,low,12.7,no
2024-07-08,billing,medium,6.6,yes
2024-08-19,technical,low,30.3,yes
